,ABUNDANCE,GENUS_SPECIES,PLOT,YEAR
7228,2,Manetyngel unknown,19,2002
7229,2,Manetyngel unknown,19,2006
7235,4,Manetyngel unknown,19,2007
7237,5,Manetyngel unknown,19,2008
7244,1,Labrus bimaculatus,19,1996
7257,1,Pleuronectes platessa,19,1998
7258,1,Pleuronectes platessa,19,2003
7259,1,Pleuronectes platessa,19,2008
7294,3,Pomatoschistus minutus,19,1995
7295,3,Pomatoschistus minutus,19,1996
7296,3,Pomatoschistus minutus,19,1997
7297,3,Pomatoschistus minutus,19,1998
7298,3,Pomatoschistus minutus,19,1999
7299,3,Pomatoschistus minutus,19,2000
7300,3,Pomatoschistus minutus,19,2001
7301,3,Pomatoschistus minutus,19,2002
7302,3,Pomatoschistus minutus,19,2003
7303,3,Pomatoschistus minutus,19,2004
7304,3,Pomatoschistus minutus,19,2005
7305,3,Pomatoschistus minutus,19,2006
7306,3,Pomatoschistus minutus,19,2007
7307,3,Pomatoschistus minutus,19,2008
7319,2,Pollachius virens,19,1997
7324,10,Pollachius virens,19,1995
7327,1,Pollachius virens,19,2001
7339,1,Salmo trutta,19,1998
7340,1,Salmo trutta,19,2008
7344,2,Salmo trutta,19,2001
7345,2,Salmo trutta,19,2005
7346,2,Salmo trutta,19,2006
7351,4,Salmo trutta,19,1995
7353,5,Salmo trutta,19,1999
7355,6,Salmo trutta,19,2002
7358,9,Salmo trutta,19,2004
7363,2,Asteroidea,19,2003
7374,1,Platichthys flesus,19,1997
7375,1,Platichthys flesus,19,2001
7376,1,Platichthys flesus,19,2004
7377,1,Platichthys flesus,19,2007
7382,2,Platichthys flesus,19,1995
7383,2,Platichthys flesus,19,2000
7384,2,Platichthys flesus,19,2005
7385,2,Platichthys flesus,19,2008
7400,3,Platichthys flesus,19,1996
7401,3,Platichthys flesus,19,1999
7404,2,Scophthalmus rhombus,19,1998
7405,1,Gasterosteidae,19,2006
7407,2,Gasterosteidae,19,1997
7408,2,Gasterosteidae,19,2004
7409,2,Gasterosteidae,19,2008
7425,2,Palaemon adspersus,19,1995
7430,1,Trachurus trachurus,19,2008
7434,3,Trachurus trachurus,19,2003
7435,3,Trachurus trachurus,19,2007
7437,5,Trachurus trachurus,19,2001
7440,2,Gobiusculus flavescens,19,1995
7452,3,Gobiusculus flavescens,19,2000
7459,4,Gobiusculus flavescens,19,1997
7460,4,Gobiusculus flavescens,19,1999
7461,4,Gobiusculus flavescens,19,2003
7462,4,Gobiusculus flavescens,19,2004
7463,4,Gobiusculus flavescens,19,2005
7464,4,Gobiusculus flavescens,19,2007
7465,4,Gobiusculus flavescens,19,2008
7472,5,Gobiusculus flavescens,19,1996
7478,1,Sygnathus typhle,19,1996
7479,1,Sygnathus typhle,19,2003
7480,1,Sygnathus typhle,19,2004
7481,1,Sygnathus typhle,19,2008
7500,4,Sygnathus typhle,19,1997
7501,5,Sygnathus typhle,19,2005
7504,1,Pholis gunnellus,19,2003
7514,1,Spinachia spinachia,19,1995
7515,1,Spinachia spinachia,19,1997
7516,1,Spinachia spinachia,19,2005
7517,1,Spinachia spinachia,19,2006
7518,1,Spinachia spinachia,19,2008
7520,2,Spinachia spinachia,19,1996
7543,3,Spinachia spinachia,19,2001
7546,4,Spinachia spinachia,19,2000
7547,4,Spinachia spinachia,19,2007
7552,1,Gadus morhua,19,2001
7557,2,Gadus morhua,19,2003
7558,2,Gadus morhua,19,2004
7563,4,Gadus morhua,19,1999
7564,4,Gadus morhua,19,2008
7567,6,Gadus morhua,19,2000
7568,7,Gadus morhua,19,2006
7574,10,Gadus morhua,19,2007
7582,17,Gadus morhua,19,1998
7583,18,Gadus morhua,19,1997
7585,22,Gadus morhua,19,2005
7586,23,Gadus morhua,19,1995
7596,85,Gadus morhua,19,1996
7615,1,Scorpaenidae,19,1997
7628,3,Scorpaenidae,19,1996
7631,1,Anguilla anguilla,20,2003
7637,1,Zoarces viviparus,20,1996
7638,1,Zoarces viviparus,20,2006
7667,3,Ctenolabrus rupestris,20,1995
7668,3,Ctenolabrus rupestris,20,1996
7669,3,Ctenolabrus rupestris,20,1998
7670,3,Ctenolabrus rupestris,20,1999
7671,3,Ctenolabrus rupestris,20,2000
7672,3,Ctenolabrus rupestris,20,2001
7673,3,Ctenolabrus rupestris,20,2002
7674,3,Ctenolabrus rupestris,20,2003
7675,3,Ctenolabrus rupestris,20,2005
7676,3,Ctenolabrus rupestris,20,2006
7677,3,Ctenolabrus rupestris,20,2007
7678,3,Ctenolabrus rupestris,20,2008
7692,1,Labrus bergylta,20,1996
7693,1,Labrus bergylta,20,1998
7694,1,Labrus bergylta,20,2004
7695,1,Labrus bergylta,20,2005
7696,1,Labrus bergylta,20,2008
7700,2,Labrus bergylta,20,1995
7701,2,Labrus bergylta,20,2003
7704,3,Labrus bergylta,20,2001
7706,4,Labrus bergylta,20,2006
7715,1,Cyanea capillata,20,1999
7719,2,Cyanea capillata,20,2005
7723,3,Cyanea capillata,20,2000
7726,4,Cyanea capillata,20,1998
7727,5,Cyanea capillata,20,2002
7728,6,Cyanea capillata,20,1995
7729,6,Cyanea capillata,20,1996
7731,8,Cyanea capillata,20,2008
7732,9,Cyanea capillata,20,2006
7736,1,Sprattus sprattus,20,2008
7745,5,Sprattus sprattus,20,2001
7748,1,Callionymus lyra,20,2000
7752,1,Centrolabrus exoletus,20,2000
7753,1,Centrolabrus exoletus,20,2001
7755,1,Symphodus melops,20,2007
7757,2,Symphodus melops,20,1997
7758,2,Symphodus melops,20,2001
7763,3,Symphodus melops,20,1995
7764,3,Symphodus melops,20,1996
7765,3,Symphodus melops,20,2002
7771,5,Symphodus melops,20,1999
7772,5,Symphodus melops,20,2000
7773,5,Symphodus melops,20,2003
7774,5,Symphodus melops,20,2005
7775,5,Symphodus melops,20,2006
7776,5,Symphodus melops,20,2008
7788,1,Merlangius merlangus,20,1999
7789,1,Merlangius merlangus,20,2003
7792,2,Merlangius merlangus,20,2001
7793,2,Merlangius merlangus,20,2008
7796,3,Merlangius merlangus,20,2000
7799,8,Merlangius merlangus,20,1995
7811,1,Eutrigla gurnardus,20,2000
7812,3,Echinoidea,20,1996
7813,2,Crystallogobius linearis,20,2000
7814,2,Crystallogobius linearis,20,2004
7817,4,Crystallogobius linearis,20,2006
7819,1,Microstomus kitt,20,1995
7820,1,Microstomus kitt,20,2000
7833,5,Pollachius pollachius,20,2001
7838,1,Pollachius pollachius,20,1999
7841,1,Scomber scombrus,20,1997
7842,1,Scomber scombrus,20,2006
7844,8,Scomber scombrus,20,2004
7845,12,Scomber scombrus,20,1998
7846,2,Manetyngel unknown,20,2002
7847,2,Manetyngel unknown,20,2004
7853,4,Manetyngel unknown,20,2007
7854,5,Manetyngel unknown,20,2008
7865,1,Pleuronectes platessa,20,2000
7866,2,Pleuronectes platessa,20,1999
7889,3,Pomatoschistus minutus,20,1995
7890,3,Pomatoschistus minutus,20,1996
7891,3,Pomatoschistus minutus,20,1997
7892,3,Pomatoschistus minutus,20,1998
7893,3,Pomatoschistus minutus,20,1999
7894,3,Pomatoschistus minutus,20,2000
7895,3,Pomatoschistus minutus,20,2001
7896,3,Pomatoschistus minutus,20,2002
7897,3,Pomatoschistus minutus,20,2003
7898,3,Pomatoschistus minutus,20,2004
7899,3,Pomatoschistus minutus,20,2005
7900,3,Pomatoschistus minutus,20,2006
7901,3,Pomatoschistus minutus,20,2007
7902,3,Pomatoschistus minutus,20,2008
7911,2,Pollachius virens,20,1997
7912,1,Pollachius virens,20,1998
7914,5,Pollachius virens,20,1995
7922,1,Clupea harengus,20,2000
7931,1,Salmo trutta,20,2000
7932,1,Salmo trutta,20,2003
7933,1,Salmo trutta,20,2008
7938,2,Salmo trutta,20,1995
7939,2,Salmo trutta,20,2001
7940,2,Salmo trutta,20,2006
7941,4,Salmo trutta,20,2004
7944,6,Salmo trutta,20,2007
7946,7,Salmo trutta,20,2002
7951,2,Polioptila caerulea,20,2000
7954,1,Asteroidea,20,2006
7956,2,Asteroidea,20,2008
7963,3,Asteroidea,20,2000
7971,1,Platichthys flesus,20,1995
7972,1,Platichthys flesus,20,1997
7973,1,Platichthys flesus,20,2000
7974,1,Platichthys flesus,20,2001
7975,1,Platichthys flesus,20,2006
7992,3,Carcinus maenas,20,1996
7994,2,Palaemon adspersus,20,1996
7995,2,Palaemon adspersus,20,1998
7996,2,Palaemon adspersus,20,2002
7997,2,Palaemon adspersus,20,2006
7998,2,Palaemon adspersus,20,2008
8018,1,Trachurus trachurus,20,2008
8019,2,Trachurus trachurus,20,1996
8020,2,Trachurus trachurus,20,2003
8021,3,Trachurus trachurus,20,2007
8022,4,Trachurus trachurus,20,1999
8024,2,Gobiusculus flavescens,20,1998
8025,2,Gobiusculus flavescens,20,2006
8036,3,Gobiusculus flavescens,20,1997
8037,3,Gobiusculus flavescens,20,2000
8038,3,Gobiusculus flavescens,20,2004
8046,4,Gobiusculus flavescens,20,1995
8047,4,Gobiusculus flavescens,20,1999
8048,4,Gobiusculus flavescens,20,2005
8049,4,Gobiusculus flavescens,20,2007
8050,4,Gobiusculus flavescens,20,2008
8055,5,Gobiusculus flavescens,20,1996
8062,1,Sygnathus typhle,20,2000
8063,1,Sygnathus typhle,20,2001
8064,1,Sygnathus typhle,20,2003
8065,1,Sygnathus typhle,20,2005
8066,1,Sygnathus typhle,20,2006
8067,1,Sygnathus typhle,20,2007
8077,1,Pholis gunnellus,20,2000
8078,1,Pholis gunnellus,20,2003
8083,1,Spinachia spinachia,20,1996
8084,1,Spinachia spinachia,20,1997
8085,1,Spinachia spinachia,20,1999
8086,1,Spinachia spinachia,20,2006
8088,2,Spinachia spinachia,20,2000
8089,2,Spinachia spinachia,20,2001
8090,2,Spinachia spinachia,20,2007
8091,2,Spinachia spinachia,20,2008
8097,3,Spinachia spinachia,20,2005
8102,2,Gadus morhua,20,1999
8103,2,Gadus morhua,20,2001
8104,3,Gadus morhua,20,1998
8105,3,Gadus morhua,20,2006
8108,4,Gadus morhua,20,1997
8109,4,Gadus morhua,20,2007
8113,8,Gadus morhua,20,1995
8114,10,Gadus morhua,20,2000
8116,13,Gadus morhua,20,2005
8124,69,Gadus morhua,20,1996
8137,1,Scorpaenidae,20,1998
8138,1,Scorpaenidae,20,2000
8139,1,Scorpaenidae,20,2005
8145,3,Scorpaenidae,20,1996
10492,1,Anguilla anguilla,32,1998
10493,1,Anguilla anguilla,32,2001
10494,1,Anguilla anguilla,32,2005
10504,3,Ctenolabrus rupestris,32,1995
10505,3,Ctenolabrus rupestris,32,1996
10506,3,Ctenolabrus rupestris,32,1997
10507,3,Ctenolabrus rupestris,32,1998
10508,3,Ctenolabrus rupestris,32,1999
10509,3,Ctenolabrus rupestris,32,2000
10510,3,Ctenolabrus rupestris,32,2001
10511,3,Ctenolabrus rupestris,32,2002
10512,3,Ctenolabrus rupestris,32,2003
10513,3,Ctenolabrus rupestris,32,2004
10514,3,Ctenolabrus rupestris,32,2005
10515,3,Ctenolabrus rupestris,32,2006
10516,3,Ctenolabrus rupestris,32,2007
10517,3,Ctenolabrus rupestris,32,2008
10525,1,Labrus bergylta,32,2001
10536,1,Cyanea capillata,32,1995
10537,1,Cyanea capillata,32,2000
10538,1,Cyanea capillata,32,2002
10539,3,Cyanea capillata,32,1998
10540,3,Cyanea capillata,32,1999
10546,2,Sprattus sprattus,32,1995
10547,2,Sprattus sprattus,32,2008
10548,1,Callionymus lyra,32,2000
10552,3,Aurelia aurita,32,1995
10553,1,Centrolabrus exoletus,32,2005
10554,1,Centrolabrus exoletus,32,2006
10555,1,Centrolabrus exoletus,32,2007
10559,4,Centrolabrus exoletus,32,2001
10566,2,Symphodus melops,32,2002
10567,3,Symphodus melops,32,1996
10568,3,Symphodus melops,32,1997
10569,3,Symphodus melops,32,1998
10573,4,Symphodus melops,32,1995
10576,5,Symphodus melops,32,1999
10577,5,Symphodus melops,32,2000
10578,5,Symphodus melops,32,2001
10579,5,Symphodus melops,32,2003
10580,5,Symphodus melops,32,2004
10581,5,Symphodus melops,32,2005
10582,5,Symphodus melops,32,2006
10583,5,Symphodus melops,32,2007
10584,5,Symphodus melops,32,2008
10593,1,Merlangius merlangus,32,2000
10594,1,Merlangius merlangus,32,2004
10595,1,Merlangius merlangus,32,2005
10599,3,Merlangius merlangus,32,1997
10602,4,Merlangius merlangus,32,2001
10605,5,Merlangius merlangus,32,1998
10606,5,Merlangius merlangus,32,2008
10610,6,Merlangius merlangus,32,1999
10612,7,Merlangius merlangus,32,2006
10614,11,Merlangius merlangus,32,2007
10619,1,Eutrigla gurnardus,32,2007
10620,2,Eutrigla gurnardus,32,1996
10622,2,Echinoidea,32,1999
10623,2,Echinoidea,32,2000
10625,3,Echinoidea,32,2001
10628,3,Crystallogobius linearis,32,2005
10630,2,Pollachius pollachius,32,2006
10632,3,Pollachius pollachius,32,2007
10635,1,Pollachius pollachius,32,1995
10636,1,Pollachius pollachius,32,2001
10638,2,Manetyngel unknown,32,2007
10640,3,Manetyngel unknown,32,2008
10642,1,Agonus cataphractus,32,1995
10643,1,Agonus cataphractus,32,2001
10657,3,Pomatoschistus minutus,32,1995
10658,3,Pomatoschistus minutus,32,1996
10659,3,Pomatoschistus minutus,32,1997
10660,3,Pomatoschistus minutus,32,1998
10661,3,Pomatoschistus minutus,32,1999
10662,3,Pomatoschistus minutus,32,2000
10663,3,Pomatoschistus minutus,32,2001
10664,3,Pomatoschistus minutus,32,2002
10665,3,Pomatoschistus minutus,32,2003
10666,3,Pomatoschistus minutus,32,2004
10667,3,Pomatoschistus minutus,32,2005
10668,3,Pomatoschistus minutus,32,2006
10669,3,Pomatoschistus minutus,32,2007
10670,3,Pomatoschistus minutus,32,2008
10683,1,Limanda limanda,32,1996
10688,4,Pollachius virens,32,2007
10693,1,Pollachius virens,32,1997
10694,8,Pollachius virens,32,2001
10696,1,Clupea harengus,32,1995
10697,1,Clupea harengus,32,1996
10698,1,Clupea harengus,32,1997
10702,3,Clupea harengus,32,2008
10703,1,Salmo trutta,32,2001
10705,2,Salmo trutta,32,2006
10707,3,Salmo trutta,32,2002
10714,3,Polioptila caerulea,32,2003
10717,4,Polioptila caerulea,32,2005
10718,4,Polioptila caerulea,32,2006
10725,3,Asteroidea,32,1995
10728,1,Platichthys flesus,32,1999
10729,1,Platichthys flesus,32,2004
10730,1,Platichthys flesus,32,2005
10731,1,Platichthys flesus,32,2006
10732,1,Platichthys flesus,32,2008
10736,2,Platichthys flesus,32,1996
10737,2,Platichthys flesus,32,1997
10738,2,Platichthys flesus,32,2003
10743,3,Platichthys flesus,32,1995
10744,3,Platichthys flesus,32,1998
10745,3,Platichthys flesus,32,2000
10748,1,Scophthalmus rhombus,32,2001
10750,1,Gasterosteidae,32,2006
10754,2,Gasterosteidae,32,1997
10755,2,Gasterosteidae,32,1998
10756,2,Gasterosteidae,32,1999
10757,2,Gasterosteidae,32,2001
10758,2,Gasterosteidae,32,2002
10759,2,Gasterosteidae,32,2003
10760,2,Gasterosteidae,32,2004
10761,2,Gasterosteidae,32,2005
10762,2,Gasterosteidae,32,2007
10763,2,Gasterosteidae,32,2008
10772,1,Carcinus maenas,32,2000
10773,1,Carcinus maenas,32,2002
10775,2,Carcinus maenas,32,1996
10776,2,Carcinus maenas,32,1998
10777,2,Carcinus maenas,32,2001
10778,2,Carcinus maenas,32,2003
10787,3,Carcinus maenas,32,1995
10788,3,Carcinus maenas,32,1997
10789,3,Carcinus maenas,32,1999
10790,3,Carcinus maenas,32,2004
10797,2,Palaemon adspersus,32,1995
10798,2,Palaemon adspersus,32,1996
10799,2,Palaemon adspersus,32,1998
10800,2,Palaemon adspersus,32,2008
10807,3,Palaemon adspersus,32,2000
10808,3,Palaemon adspersus,32,2001
10809,3,Palaemon adspersus,32,2003
10810,3,Palaemon adspersus,32,2004
10811,3,Palaemon adspersus,32,2005
10814,4,Palaemon adspersus,32,2002
10815,5,Palaemon adspersus,32,1997
10816,5,Palaemon adspersus,32,1999
10823,1,Trachurus trachurus,32,1999
10825,2,Trachurus trachurus,32,2001
10826,2,Trachurus trachurus,32,2002
10827,2,Trachurus trachurus,32,2003
10828,2,Trachurus trachurus,32,2004
10829,2,Trachurus trachurus,32,2006
10831,3,Trachurus trachurus,32,2008
10832,2,Gobiusculus flavescens,32,1996
10833,2,Gobiusculus flavescens,32,1999
10834,2,Gobiusculus flavescens,32,2003
10835,2,Gobiusculus flavescens,32,2004
10839,3,Gobiusculus flavescens,32,2005
10840,3,Gobiusculus flavescens,32,2006
10841,3,Gobiusculus flavescens,32,2008
10845,4,Gobiusculus flavescens,32,1997
10846,4,Gobiusculus flavescens,32,1998
10847,4,Gobiusculus flavescens,32,2002
10848,4,Gobiusculus flavescens,32,2007
10853,1,Sygnathus typhle,32,2000
10854,1,Sygnathus typhle,32,2001
10855,1,Sygnathus typhle,32,2002
10856,1,Sygnathus typhle,32,2003
10857,1,Sygnathus typhle,32,2005
10861,3,Sygnathus typhle,32,2006
10862,4,Sygnathus typhle,32,2008
10866,1,Pholis gunnellus,32,1998
10869,1,Spinachia spinachia,32,2001
10870,1,Spinachia spinachia,32,2002
10871,1,Spinachia spinachia,32,2004
10872,1,Spinachia spinachia,32,2006
10875,2,Spinachia spinachia,32,2007
10876,2,Spinachia spinachia,32,2008
10884,1,Gadus morhua,32,1999
10885,1,Gadus morhua,32,2002
10886,2,Gadus morhua,32,1997
10887,2,Gadus morhua,32,2003
10893,6,Gadus morhua,32,1998
10898,8,Gadus morhua,32,1996
10900,9,Gadus morhua,32,1995
10901,11,Gadus morhua,32,2004
10902,11,Gadus morhua,32,2005
10903,11,Gadus morhua,32,2007
10904,14,Gadus morhua,32,2001
10905,14,Gadus morhua,32,2008
10907,15,Gadus morhua,32,2000
10909,28,Gadus morhua,32,2006
10914,1,Scorpaenidae,32,1997
12223,1,Anguilla anguilla,36,1997
12227,3,Anguilla anguilla,36,2006
12284,3,Ctenolabrus rupestris,36,1995
12285,3,Ctenolabrus rupestris,36,1996
12286,3,Ctenolabrus rupestris,36,1997
12287,3,Ctenolabrus rupestris,36,1998
12288,3,Ctenolabrus rupestris,36,1999
12289,3,Ctenolabrus rupestris,36,2000
12290,3,Ctenolabrus rupestris,36,2001
12291,3,Ctenolabrus rupestris,36,2002
12292,3,Ctenolabrus rupestris,36,2003
12293,3,Ctenolabrus rupestris,36,2004
12294,3,Ctenolabrus rupestris,36,2005
12295,3,Ctenolabrus rupestris,36,2006
12296,3,Ctenolabrus rupestris,36,2007
12297,3,Ctenolabrus rupestris,36,2008
12321,1,Labrus bergylta,36,1997
12322,1,Labrus bergylta,36,2000
12323,1,Labrus bergylta,36,2001
12324,1,Labrus bergylta,36,2002
12325,1,Labrus bergylta,36,2007
12326,1,Labrus bergylta,36,2008
12335,2,Labrus bergylta,36,2005
12359,1,Cyanea capillata,36,1996
12360,1,Cyanea capillata,36,2005
12375,5,Cyanea capillata,36,2008
12388,1,Sprattus sprattus,36,1996
12397,2,Sprattus sprattus,36,1999
12398,2,Sprattus sprattus,36,2001
12399,2,Sprattus sprattus,36,2002
12400,2,Sprattus sprattus,36,2008
12411,3,Sprattus sprattus,36,1997
12414,4,Sprattus sprattus,36,2006
12427,1,Centrolabrus exoletus,36,2006
12428,1,Centrolabrus exoletus,36,2007
12431,3,Centrolabrus exoletus,36,2008
12438,1,Symphodus melops,36,1995
12441,2,Symphodus melops,36,2003
12449,3,Symphodus melops,36,1998
12454,4,Symphodus melops,36,2000
12455,4,Symphodus melops,36,2005
12462,5,Symphodus melops,36,1996
12463,5,Symphodus melops,36,1997
12464,5,Symphodus melops,36,1999
12465,5,Symphodus melops,36,2001
12466,5,Symphodus melops,36,2002
12467,5,Symphodus melops,36,2004
12468,5,Symphodus melops,36,2006
12469,5,Symphodus melops,36,2007
12470,5,Symphodus melops,36,2008
12481,1,Entelurus aequoreus,36,2007
12484,2,Crangon crangon,36,1995
12488,1,Merlangius merlangus,36,2005
12495,2,Merlangius merlangus,36,1995
12496,2,Merlangius merlangus,36,2000
12499,3,Merlangius merlangus,36,2008
12501,4,Merlangius merlangus,36,1996
12502,4,Merlangius merlangus,36,2002
12503,4,Merlangius merlangus,36,2003
12505,5,Merlangius merlangus,36,1997
12509,7,Merlangius merlangus,36,2006
12531,23,Merlangius merlangus,36,2007
12540,29,Merlangius merlangus,36,2004
12542,30,Merlangius merlangus,36,2001
12544,32,Merlangius merlangus,36,1999
12550,41,Merlangius merlangus,36,1998
12569,1,Eutrigla gurnardus,36,1998
12571,1,Echinoidea,36,1996
12572,2,Echinoidea,36,1999
12582,1,Pollachius pollachius,36,1995
12583,1,Pollachius pollachius,36,2001
12584,1,Pollachius pollachius,36,2003
12585,1,Pollachius pollachius,36,2004
12592,2,Pollachius pollachius,36,2005
12593,3,Pollachius pollachius,36,2008
12608,7,Pollachius pollachius,36,2007
12637,1,Scomber scombrus,36,2004
12639,2,Manetyngel unknown,36,2008
12659,1,Pleuronectes platessa,36,1997
12710,3,Pomatoschistus minutus,36,1995
12711,3,Pomatoschistus minutus,36,1996
12712,3,Pomatoschistus minutus,36,1997
12713,3,Pomatoschistus minutus,36,1998
12714,3,Pomatoschistus minutus,36,1999
12715,3,Pomatoschistus minutus,36,2000
12716,3,Pomatoschistus minutus,36,2001
12717,3,Pomatoschistus minutus,36,2002
12718,3,Pomatoschistus minutus,36,2003
12719,3,Pomatoschistus minutus,36,2004
12720,3,Pomatoschistus minutus,36,2005
12721,3,Pomatoschistus minutus,36,2006
12722,3,Pomatoschistus minutus,36,2007
12723,3,Pomatoschistus minutus,36,2008
12743,1,Pollachius virens,36,1996
12744,1,Pollachius virens,36,2008
12746,2,Pollachius virens,36,1997
12748,3,Pollachius virens,36,1995
12755,1,Clupea harengus,36,2008
12760,2,Clupea harengus,36,2001
12764,3,Clupea harengus,36,1999
12772,1,Salmo trutta,36,2000
12773,1,Salmo trutta,36,2001
12774,1,Salmo trutta,36,2002
12785,2,Salmo trutta,36,2008
12798,3,Polioptila caerulea,36,2006
12813,1,Platichthys flesus,36,1997
12814,1,Platichthys flesus,36,2001
12815,1,Platichthys flesus,36,2005
12822,2,Platichthys flesus,36,1996
12823,2,Platichthys flesus,36,1998
12841,4,Platichthys flesus,36,1995
12849,1,Scophthalmus rhombus,36,2005
12850,1,Scophthalmus rhombus,36,2008
12854,1,Gasterosteidae,36,2003
12858,2,Gasterosteidae,36,2001
12859,2,Gasterosteidae,36,2004
12860,2,Gasterosteidae,36,2005
12861,2,Gasterosteidae,36,2007
12862,2,Gasterosteidae,36,2008
12900,3,Gasterosteidae,36,1996
12901,3,Gasterosteidae,36,1997
12902,3,Gasterosteidae,36,1999
12903,3,Gasterosteidae,36,2002
12910,4,Gasterosteidae,36,1998
12911,4,Gasterosteidae,36,2000
12912,4,Gasterosteidae,36,2006
12922,2,Carcinus maenas,36,1997
12928,3,Carcinus maenas,36,1995
12959,3,Palaemon adspersus,36,1996
12960,3,Palaemon adspersus,36,2007
12961,3,Palaemon adspersus,36,2008
12968,4,Palaemon adspersus,36,1995
12969,4,Palaemon adspersus,36,1997
12970,4,Palaemon adspersus,36,1999
12971,4,Palaemon adspersus,36,2000
12972,4,Palaemon adspersus,36,2001
12973,4,Palaemon adspersus,36,2002
12974,4,Palaemon adspersus,36,2004
12975,4,Palaemon adspersus,36,2005
12982,5,Palaemon adspersus,36,1998
12983,5,Palaemon adspersus,36,2003
12984,5,Palaemon adspersus,36,2006
13000,1,Trachurus trachurus,36,1998
13001,1,Trachurus trachurus,36,1999
13002,1,Trachurus trachurus,36,2006
13010,3,Trachurus trachurus,36,2001
13011,3,Trachurus trachurus,36,2003
13013,5,Trachurus trachurus,36,2002
13014,5,Trachurus trachurus,36,2008
13015,2,Gobiusculus flavescens,36,2001
13016,2,Gobiusculus flavescens,36,2008
13030,3,Gobiusculus flavescens,36,1995
13031,3,Gobiusculus flavescens,36,1999
13032,3,Gobiusculus flavescens,36,2005
13048,4,Gobiusculus flavescens,36,1996
13049,4,Gobiusculus flavescens,36,2003
13050,4,Gobiusculus flavescens,36,2004
13051,4,Gobiusculus flavescens,36,2007
13061,5,Gobiusculus flavescens,36,1998
13070,1,Sygnathus typhle,36,2000
13101,3,Sygnathus typhle,36,2004
13102,3,Sygnathus typhle,36,2006
13105,4,Sygnathus typhle,36,1995
13106,4,Sygnathus typhle,36,1997
13107,4,Sygnathus typhle,36,1998
13108,4,Sygnathus typhle,36,1999
13109,4,Sygnathus typhle,36,2001
13110,4,Sygnathus typhle,36,2003
13113,1,Pholis gunnellus,36,1998
13119,1,Spinachia spinachia,36,2001
13120,1,Spinachia spinachia,36,2007
13124,2,Spinachia spinachia,36,2000
13125,2,Spinachia spinachia,36,2004
13126,2,Spinachia spinachia,36,2005
13127,2,Spinachia spinachia,36,2006
13150,3,Spinachia spinachia,36,2002
13151,3,Spinachia spinachia,36,2008
13152,4,Spinachia spinachia,36,1999
13163,1,Gadus morhua,36,1995
13164,1,Gadus morhua,36,2006
13173,2,Gadus morhua,36,2004
13185,4,Gadus morhua,36,2005
13198,9,Gadus morhua,36,2007
13204,16,Gadus morhua,36,1996
13207,1,Gadus morhua,36,1998
13215,1,Scorpaenidae,36,1996
13224,1,Anguilla anguilla,37,1996
13268,3,Ctenolabrus rupestris,37,1995
13269,3,Ctenolabrus rupestris,37,1996
13270,3,Ctenolabrus rupestris,37,1997
13271,3,Ctenolabrus rupestris,37,1998
13272,3,Ctenolabrus rupestris,37,1999
13273,3,Ctenolabrus rupestris,37,2000
13274,3,Ctenolabrus rupestris,37,2001
13275,3,Ctenolabrus rupestris,37,2002
13276,3,Ctenolabrus rupestris,37,2003
13277,3,Ctenolabrus rupestris,37,2004
13278,3,Ctenolabrus rupestris,37,2005
13279,3,Ctenolabrus rupestris,37,2006
13280,3,Ctenolabrus rupestris,37,2007
13281,3,Ctenolabrus rupestris,37,2008
13299,1,Labrus bergylta,37,1996
13300,1,Labrus bergylta,37,2001
13307,2,Labrus bergylta,37,1995
13313,4,Labrus bergylta,37,2006
13315,5,Labrus bergylta,37,2005
13331,1,Cyanea capillata,37,1995
13332,1,Cyanea capillata,37,1996
13333,1,Cyanea capillata,37,1997
13342,3,Cyanea capillata,37,1998
13362,1,Callionymus lyra,37,2002
13363,1,Callionymus lyra,37,2004
13373,1,Centrolabrus exoletus,37,2005
13376,3,Centrolabrus exoletus,37,2006
13378,5,Centrolabrus exoletus,37,2008
13388,1,Symphodus melops,37,2000
13396,3,Symphodus melops,37,1997
13397,3,Symphodus melops,37,2001
13398,3,Symphodus melops,37,2007
13400,4,Symphodus melops,37,1996
13401,4,Symphodus melops,37,1999
13402,4,Symphodus melops,37,2002
13405,5,Symphodus melops,37,1995
13406,5,Symphodus melops,37,2003
13407,5,Symphodus melops,37,2004
13408,5,Symphodus melops,37,2005
13409,5,Symphodus melops,37,2006
13410,5,Symphodus melops,37,2008
13420,1,Entelurus aequoreus,37,1996
13421,1,Crangon crangon,37,1995
13434,1,Merlangius merlangus,37,2001
13452,5,Merlangius merlangus,37,2002
13454,6,Merlangius merlangus,37,1997
13455,7,Merlangius merlangus,37,1999
13456,6,Merlangius merlangus,37,2005
13458,7,Merlangius merlangus,37,2003
13461,8,Merlangius merlangus,37,2000
13464,9,Merlangius merlangus,37,2006
13469,11,Merlangius merlangus,37,1996
13473,13,Merlangius merlangus,37,2007
13476,23,Merlangius merlangus,37,1995
13478,51,Merlangius merlangus,37,2004
13480,127,Merlangius merlangus,37,1998
13489,2,Eutrigla gurnardus,37,2001
13491,1,Echinoidea,37,2000
13496,3,Echinoidea,37,1996
13503,3,Crystallogobius linearis,37,2005
13505,4,Crystallogobius linearis,37,2006
13508,1,Microstomus kitt,37,1998
13521,2,Pollachius pollachius,37,1998
13522,4,Pollachius pollachius,37,2008
